"","name","country.etc","pop","lat","long","capital","x","y","city"
"1","Abilene TX","TX",113888,32.45,-99.74,0,24543.5569106957,-1392670.42023747,"Abilene"
"2","Akron OH","OH",206634,41.08,-81.52,0,1533716.37373629,-262400.248153485,"Akron"
"3","Alameda CA","CA",70069,37.77,-122.26,0,-1931841.77194092,-543194.818801565,"Alameda"
"4","Albany GA","GA",75510,31.58,-84.18,0,1498524.3012967,-1350289.59462988,"Albany"
"5","Albany NY","NY",93576,42.67,-73.8,2,2096820.35794288,82431.2899494559,"Albany"
"6","Albany OR","OR",45535,44.62,-123.09,0,-1796636.46805072,216821.41538264,"Albany"
"7","Albuquerque NM","NM",494962,35.12,-106.62,0,-603588.142774049,-1073628.06880108,"Albuquerque"
"8","Alexandria LA","LA",44933,31.29,-92.46,0,720495.165839275,-1489295.73541198,"Alexandria"
"9","Alexandria VA","VA",127159,38.82,-77.09,0,1956568.28937454,-414114.47444602,"Alexandria"
"10","Alhambra CA","CA",88857,34.08,-118.13,0,-1661727.16117561,-1033932.49627245,"Alhambra"
"11","Aliso Viejo CA","CA",41975,33.57,-117.73,0,-1636250.26826294,-1097455.09715208,"Aliso Viejo"
"12","Allen TX","TX",84467,33.11,-96.67,0,311734.661262213,-1313662.234638,"Allen"
"13","Allentown PA","PA",105224,40.6,-75.48,0,2033825.32121538,-182664.972418819,"Allentown"
"14","Aloha OR","OR",45531,45.49,-122.87,0,-1752961.04163621,305745.298257385,"Aloha"
"15","Altadena CA","CA",43280,34.19,-118.13,0,-1659395.92173684,-1021915.33675229,"Altadena"
"16","Altamonte Springs FL","FL",40712,28.66,-81.4,0,1816485.8482667,-1615598.35141302,"Altamonte Springs"
"17","Altoona PA","PA",46442,40.51,-78.4,0,1801610.76944294,-260908.030717731,"Altoona"
"18","Amarillo TX","TX",183295,35.2,-101.82,0,-165960.295726722,-1086597.83149222,"Amarillo"
"19","Ames IA","IA",57683,42.02,-93.63,0,525733.423610795,-310906.120292604,"Ames"
"20","Anaheim CA","CA",334909,33.84,-117.87,0,-1643335.22642104,-1065236.90486849,"Anaheim"
"21","Anderson IN","IN",57036,40.09,-85.69,0,1210912.41487556,-440623.162994888,"Anderson"
"22","Andover MA","MA",67715,42.65,-71.14,0,2299684.26771338,152809.018532057,"Andover"
"23","Ann Arbor MI","MI",113716,42.28,-83.73,0,1327955.16584345,-169793.541766587,"Ann Arbor"
"24","Annandale VA","VA",57942,38.83,-77.21,0,1946358.49285303,-415874.086892081,"Annandale"
"25","Annapolis MD","MD",36300,38.98,-76.49,2,2001390.02344297,-382382.502093838,"Annapolis"
"26","Antioch CA","CA",109485,37.99,-121.8,0,-1887137.22021192,-529932.982492731,"Antioch"
"27","Apple Valley CA","CA",66361,34.53,-117.21,0,-1569793.44404575,-1002339.17901413,"Apple Valley"
"28","Apple Valley MN","MN",51609,44.75,-93.2,0,536204.31029159,-5297.39870922812,"Apple Valley"
"29","Appleton WI","WI",70090,44.27,-88.4,0,919718.215431461,-15323.3723681943,"Appleton"
"30","Arcadia CA","CA",57429,34.13,-118.04,0,-1652578.41823803,-1030235.03622795,"Arcadia"
"31","Arden-Arcade CA","CA",99968,38.6,-121.38,0,-1835551.49561806,-473147.425926726,"Arden-Arcade"
"32","Arlington Heights IL","IL",74763,42.09,-87.98,0,987758.438002742,-250944.151606383,"Arlington Heights"
"33","Arlington MA","MA",41246,42.42,-71.16,0,2306899.96281454,127814.35371375,"Arlington"
"34","Arlington TX","TX",374729,32.69,-97.13,0,270076.076569367,-1361651.69241561,"Arlington"
"35","Arlington VA","VA",184603,38.88,-77.1,0,1954018.04073625,-407856.044069625,"Arlington"
"36","Arvada CO","CO",101633,39.82,-105.11,0,-436519.628635943,-562331.387906751,"Arvada"
"37","Asheville NC","NC",68654,35.57,-82.55,0,1569775.43901093,-884083.826766846,"Asheville"
"38","Aspen Hill MD","MD",54029,39.09,-77.08,0,1949621.13976538,-384648.069394994,"Aspen Hill"
"39","Athens-Clarke GA","GA",103618,33.95,-83.39,0,1527232.08196995,-1076808.91325559,"Athens-Clarke"
"40","Atlanta GA","GA",424096,33.76,-84.42,2,1437328.81360274,-1115645.79409969,"Atlanta"
"41","Atlantic City NJ","NJ",40529,39.38,-74.45,0,2155552.68884153,-287611.871318101,"Atlantic City"
"42","Attleboro MA","MA",44690,41.93,-71.3,0,2314703.34321249,71738.0580194716,"Attleboro"
"43","Auburn AL","AL",51236,32.59,-85.48,0,1360313.46206746,-1261371.98103708,"Auburn"
"44","Auburn WA","WA",46108,47.3,-122.21,0,-1648240.84853849,486801.607920145,"Auburn"
"45","Augusta ME","ME",18626,44.32,-69.77,2,2335450.11322123,369102.044616481,"Augusta"
"46","Augusta-Richmond GA","GA",192376,33.46,-81.99,0,1663909.61099933,-1104021.68177165,"Augusta-Richmond"
"47","Aurora CO","CO",304641,39.71,-104.73,0,-404767.915901577,-576464.298725615,"Aurora"
"48","Aurora IL","IL",181120,41.77,-88.29,0,967429.605909562,-289952.747462059,"Aurora"
"49","Austin TX","TX",683404,30.31,-97.75,2,217746.653975851,-1626153.70063841,"Austin"
"50","Avondale AZ","AZ",79125,33.42,-112.32,0,-1144374.79420656,-1202546.53944608,"Avondale"
"51","Azusa CA","CA",48992,34.14,-117.91,0,-1640679.99978268,-1031675.98953296,"Azusa"
"52","Bakersfield CA","CA",301775,35.36,-119,0,-1711164.45638532,-876745.176708122,"Bakersfield"
"53","Baldwin Park CA","CA",81467,34.08,-117.97,0,-1647334.73229104,-1037065.22145599,"Baldwin Park"
"54","Baltimore MD","MD",602658,39.3,-76.61,0,1982090.31408954,-350692.705475916,"Baltimore"
"55","Barnstable Town MA","MA",49598,41.7,-70.3,0,2399802.7693484,76499.4373360874,"Barnstable Town"
"56","Bartlett TN","TN",43852,35.22,-89.84,0,923567.762732677,-1030598.00506973,"Bartlett"
"57","Baton Rouge LA","LA",222217,30.45,-91.13,2,855326.409437322,-1569629.5861045,"Baton Rouge"
"58","Battle Creek MI","MI",54179,42.3,-85.23,0,1206884.63599021,-190894.892535101,"Battle Creek"
"59","Bayonne NJ","NJ",59482,40.66,-74.11,0,2140858.57876268,-141146.268046642,"Bayonne"
"60","Baytown TX","TX",67487,29.75,-94.97,0,489590.083527547,-1676533.11143612,"Baytown"
"61","Beaumont TX","TX",110949,30.09,-94.14,0,568068.940166739,-1634027.83232608,"Beaumont"
"62","Beavercreek OH","OH",41297,39.73,-84.06,0,1354146.98396223,-454823.068915561,"Beavercreek"
