"","state","x","y"
"1","MN",541704.121763168,23092.3921794832
"2","RI",2307655.12568726,49860.643206683
"3","WI",972454.42840897,-150677.243006534
"4","WV",1703098.36123014,-391854.264894475
"5","PA",2080809.38100801,-244374.198263217
"6","TX",296374.254405802,-1330848.67399314
"7","NC",1732874.88432988,-887713.941497403
"8","OH",1544276.70474724,-187611.659207557
"9","IL",1018353.40436243,-277906.536427941
"10","OR",-1809348.42483504,164383.984685167
"11","ND",-96567.4108604323,345447.232894703
"12","KY",1498338.2321768,-567658.819961982
"13","FL",1747941.5846007,-1461707.72086605
"14","VA",1979201.01853077,-572923.220300123
"15","NJ",2096566.23273109,-133221.529650832
"16","GA",1387305.39237308,-1142845.83567678
"17","NM",-598806.17756796,-1070665.81674515
"18","TX",429693.475613301,-1688625.93648113
"19","TX",297747.882745217,-1344078.02868201
"20","FL",1511043.12412699,-1470776.91136812
"21","NY",2113826.61735269,56131.8526370558
"22","FL",1760025.55231996,-1577999.52125332
"23","OR",-1776970.84470946,-36402.1392803232
"24","MN",520147.559450175,16820.1050958346
"25","PA",1962475.37471609,-301559.06898737
"26","CO",-435992.370041879,-567931.006827465
"27","OH",1437030.47585938,-408378.387776481
"28","NC",1904482.02512411,-790088.234529105
"29","MI",1163227.240897,-126220.438286067
"30","OH",1619161.09118222,-352557.562876288
"31","PA",1617482.64147519,-225239.92060823
"32","LA",771391.510044352,-1610001.0307824
"33","NY",1771155.27240943,-14745.0255243415
"34","GA",1480478.36407234,-1121052.06580071
"35","FL",1914721.20560285,-1713724.08931625
"36","FL",1757240.6426994,-1793056.76380049
"37","KY",1250731.45684361,-645204.173415045
"38","RI",2341160.19626907,31115.0926861811
"39","ME",2336330.49165131,403579.863149117
"40","TX",223402.272191129,-1536596.74738804
"41","NY",2152672.13749274,-122998.33151905
"42","FL",1765063.66109009,-1437588.53128843
"43","OH",1588482.9709581,-270224.794085312
"44","GA",1417874.41873586,-1157627.33217938
"45","IN",1247415.01159496,-614120.263217239
"46","NY",2176894.1998941,-102968.01223643
